"","spp1","spp2","spp3","spp4","spp5","spp6","spp7","spp8","spp9","spp10","spp11","spp12","spp13","spp14","spp15","spp16","spp17","spp18","spp19","spp20","spp21","spp22","spp23","spp24","spp25","spp26","spp27","spp28","spp29","spp30","spp31","spp32","spp33","spp34","spp35","spp36","spp37","spp38","spp39","spp40","spp41","spp42","spp43","spp44","spp45","spp46","spp47","spp48","spp49","spp50","spp51","spp52","spp53","spp54","spp55","spp56","spp57","spp58","spp59","spp60","spp61","spp62","spp63","spp64","spp65","spp66","spp67","spp68","spp69","spp70","spp71","spp72","spp73","spp74","spp75","spp76","spp77","spp78","spp79","spp80","spp81","spp82","spp83","spp84","spp85","spp86","spp87","spp88","spp89","spp90","spp91","spp92","spp93","spp94","spp95","spp96","spp97","spp98","spp99","spp100"
"loc1",3,1,3,1,1,3,2,0,0,3,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,2,2,1,4,2,2,0,1,1,2,1,0,0,0,1,2,2,1,0,1,1,0,1,0,2,0,0,3,2,0,0,0,0,0,0,0,2,0,2,1,1,3,1,0,2,1,3,1,0,2,2,0,0,3,0,0,4,0,3,0,0,4,0,1,2,2,2,0,0,0,2,0,1,1,0
"loc2",8,0,1,2,0,15,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,2,1,2,1,7,2,3,0,3,0,2,0,4,0,1,0,0,0,3,7,1,0,1,1,0,0,1,4,2,4,0,6,0,1,1,2,3,1,0,0,0,0,1,0,1,4,0,1,0,1,7,0,6,0,7,1,2,0,1,1,1,1,0,0,5,0,1,5,0,0,0,0,1,2,1,0,0,8
"loc3",10,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,4,0,0,1,2,0,1,3,0,1,3,2,2,0,2,2,2,0,7,0,2,0,0,0,3,6,0,0,0,0,1,0,0,2,2,3,0,7,2,0,0,5,3,0,0,0,0,1,0,2,3,1,2,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,2,1,1,7,0,0,0,0,0,0,0,1,0,1
"loc4",11,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,3,0,1,0,1,1,0,0,0,1,1,0,5,0,3,1,0,1,8,0,0,0,0,0,2,3,0,0,0,1,1,0,0,2,0,3,1,9,2,0,0,1,0,0,0,0,0,0,1,2,5,2,3,0,0,0,1,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,1,0,0,0,4
"loc5",13,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,4,0,0,0,2,0,0,1,0,1,0,2,2,0,3,4,0,0,5,0,1,0,0,0,1,3,1,1,0,0,0,0,1,1,2,2,0,2,2,0,0,4,1,0,0,1,0,1,0,1,0,2,2,0,0,0,2,0,3,0,6,0,0,0,0,0,1,0,0,0,4,2,0,4,0,0,0,0,1,2,0,0,0,1
"loc6",14,0,0,0,0,11,0,0,0,0,0,1,0,0,2,0,11,0,0,0,2,0,2,2,1,1,4,11,7,1,5,1,1,0,6,0,0,1,1,1,4,5,1,0,0,0,0,0,0,9,2,7,1,4,2,0,0,4,3,0,0,1,1,1,0,4,5,7,3,0,0,0,3,0,7,0,8,1,0,1,0,1,1,0,0,0,3,0,1,6,1,0,0,2,0,1,0,0,2,3
"loc7",12,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,3,0,3,2,4,5,0,1,2,1,0,6,0,0,0,2,0,3,5,1,0,1,0,0,0,0,7,3,5,0,12,3,2,0,5,1,0,0,2,0,2,0,2,5,2,2,1,0,0,2,0,8,0,10,0,0,0,0,0,2,0,0,0,5,1,0,8,0,0,1,0,0,2,0,0,0,2
"loc8",15,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,1,1,1,2,4,0,3,0,4,0,1,0,7,0,0,0,0,1,4,11,0,0,0,0,0,0,0,4,1,6,0,6,8,1,0,6,1,0,0,1,0,1,0,4,7,4,4,0,1,0,4,0,3,0,9,0,2,1,0,0,4,0,0,0,1,0,1,3,0,0,0,0,0,3,0,0,0,4
"loc9",7,0,0,0,0,13,0,0,0,0,1,1,1,0,0,0,2,1,0,0,0,0,0,3,0,0,4,1,9,0,3,5,1,0,10,0,1,1,0,1,2,5,1,0,0,0,0,0,0,2,1,3,0,5,1,1,0,4,2,0,0,1,0,1,0,3,8,1,1,0,0,1,3,0,3,0,7,0,0,0,0,0,0,0,0,0,5,0,2,1,1,2,0,0,1,2,0,0,0,1
"loc10",10,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,1,0,1,3,3,4,2,0,2,1,3,1,4,0,0,1,0,0,4,10,0,0,0,0,1,1,0,6,0,7,0,8,3,0,0,4,4,0,0,0,0,0,0,1,2,4,1,0,0,0,5,0,3,0,12,0,0,0,0,0,2,0,1,0,4,4,0,6,0,0,0,1,0,1,0,0,0,3
"loc11",13,0,0,0,0,14,0,0,0,0,1,0,0,0,1,0,5,1,0,1,1,0,1,0,0,3,3,3,1,0,1,1,0,0,4,1,0,0,0,0,4,4,1,0,0,0,0,1,0,6,1,3,1,7,1,0,0,7,5,1,0,2,1,2,1,1,6,4,3,0,0,0,8,2,2,0,5,1,0,0,1,0,1,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,2
"loc12",9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,2,0,1,2,8,2,3,0,5,0,0,0,6,0,0,0,2,0,4,5,0,0,1,0,0,0,0,3,2,4,0,6,1,0,2,5,3,0,0,2,0,0,0,3,1,2,2,0,0,0,3,0,3,0,8,0,1,0,0,0,1,0,0,0,3,0,0,5,0,1,0,1,0,2,0,0,0,2
"loc13",13,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,6,0,1,1,5,0,0,1,0,3,1,3,4,1,3,1,0,0,7,0,0,0,0,1,3,7,0,0,1,1,0,1,0,3,1,4,0,4,3,1,0,5,4,1,1,0,0,1,2,4,6,1,0,0,0,0,2,1,1,0,8,0,1,0,0,0,0,0,0,0,4,1,0,5,0,0,0,0,0,1,0,0,0,1
"loc14",12,0,0,0,0,10,0,0,0,1,0,0,0,0,1,0,2,0,0,0,2,0,3,0,0,5,0,5,2,0,2,0,0,1,5,0,1,0,0,1,4,2,0,1,0,0,0,1,0,5,2,3,1,6,4,0,0,5,1,0,1,0,1,3,0,2,4,3,1,0,0,0,2,0,2,0,6,0,0,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0,1,0,0,0,1,1
"loc15",9,0,1,0,0,14,0,0,0,0,0,0,0,0,2,0,3,0,0,0,3,0,0,0,0,5,2,5,3,0,3,2,2,0,3,0,0,0,0,0,6,6,0,1,0,1,1,0,0,3,2,11,0,11,5,0,0,8,0,1,1,0,0,1,1,3,4,2,2,0,1,0,9,0,3,0,4,0,0,0,0,0,2,1,0,0,3,2,1,9,1,0,0,0,0,2,0,0,0,4
"loc16",16,0,0,0,0,12,0,0,0,0,1,1,0,0,2,0,8,1,1,0,5,0,6,1,0,5,6,1,3,0,5,5,1,1,8,1,0,1,0,0,2,11,0,0,0,0,0,0,0,4,1,7,0,12,2,0,1,7,3,0,0,1,0,1,2,2,10,0,4,0,0,0,1,1,2,0,7,0,0,0,0,0,0,0,0,0,5,2,2,9,0,0,1,0,0,0,0,0,0,3
"loc17",12,0,0,0,0,11,0,0,0,0,0,0,0,0,1,1,3,0,0,0,2,0,2,0,0,2,1,4,2,0,1,3,2,1,2,0,1,0,1,1,1,2,1,0,0,0,0,0,0,4,0,4,0,3,4,1,0,4,1,0,0,0,0,0,0,4,2,3,4,0,0,0,0,0,2,0,5,0,1,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,1,0,0,0,1
"loc18",12,0,1,0,0,17,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1,0,0,2,1,1,3,4,6,1,4,0,1,0,5,0,0,1,0,0,5,4,0,0,1,0,0,0,1,4,0,5,0,13,12,0,0,4,1,0,1,0,0,0,0,3,2,1,0,0,0,0,4,1,2,0,8,0,2,1,0,0,1,0,0,2,6,2,0,3,1,0,0,0,0,1,2,1,0,2
"loc19",15,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,5,0,0,0,3,0,0,1,1,5,6,0,3,1,1,3,3,0,6,0,0,0,0,0,6,9,1,0,0,0,1,1,0,6,2,2,0,12,7,0,0,6,5,0,0,1,0,2,0,1,4,6,2,0,0,0,6,0,6,0,11,1,1,0,0,2,1,0,1,0,5,1,0,8,1,0,1,0,0,3,1,1,0,1
"loc20",7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,1,0,0,0,2,5,0,0,2,2,1,0,3,0,1,0,0,0,1,2,0,0,0,0,1,0,0,6,0,3,0,3,0,0,0,7,1,0,0,2,0,0,0,0,2,7,0,1,0,0,2,0,3,0,9,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1
"loc21",10,0,0,0,0,11,0,0,0,1,1,0,0,0,0,0,5,0,0,1,2,0,1,3,0,2,3,4,2,0,2,1,2,0,3,0,0,0,0,0,1,10,1,0,0,0,1,0,0,7,3,4,0,8,1,0,0,4,4,1,0,0,1,1,0,2,2,5,1,0,0,0,0,0,1,0,7,1,1,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0,0,1,0,0,0,1
"loc22",17,0,0,0,0,8,1,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,1,0,0,3,2,6,4,1,2,3,2,0,6,1,0,0,0,0,4,8,1,0,0,1,0,0,0,3,2,6,0,11,4,0,0,7,2,0,0,1,0,1,0,1,6,4,3,1,0,0,2,0,6,0,5,0,0,0,0,0,0,0,0,0,4,1,0,5,0,0,0,0,0,1,1,2,0,1
"loc23",8,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,5,0,0,0,3,0,0,2,1,4,5,1,6,0,4,1,1,1,5,0,0,0,0,0,4,4,0,0,1,0,0,0,2,4,0,2,0,7,6,0,2,3,4,1,0,1,0,0,0,6,2,4,0,0,1,1,4,0,0,0,2,1,0,0,0,0,0,0,0,1,5,0,0,9,0,0,0,0,0,1,0,0,0,1
"loc24",22,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,3,1,0,4,6,6,2,1,1,1,0,0,6,2,0,0,0,0,10,6,0,0,1,1,0,0,0,4,0,2,0,8,3,1,0,4,2,1,0,2,0,1,0,5,2,4,2,0,0,1,4,1,2,0,10,0,0,0,0,1,1,0,0,0,4,0,1,6,0,0,0,1,0,1,0,0,0,0
"loc25",8,0,0,0,0,10,0,0,1,0,0,0,2,0,1,2,3,0,0,0,1,0,0,2,0,5,2,0,2,0,1,0,1,0,1,0,0,0,0,0,4,6,1,1,0,0,0,0,0,1,1,3,0,8,2,0,0,6,3,0,1,2,1,0,1,3,3,4,4,0,1,0,5,0,3,0,4,0,1,0,1,0,0,0,0,0,4,2,0,3,0,0,1,0,0,1,1,1,0,0
"loc26",7,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,1,2,3,4,4,5,0,1,2,1,0,3,1,0,0,0,1,5,4,0,1,0,0,0,0,1,7,0,3,1,5,1,1,0,6,2,1,0,0,0,1,0,3,2,7,2,0,0,0,4,1,1,0,2,0,0,0,0,0,2,0,0,0,0,2,0,3,0,1,0,0,0,2,0,0,0,0
"loc27",11,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,7,0,0,0,2,0,1,1,0,2,6,2,4,0,5,2,0,0,6,0,1,0,0,0,3,9,0,0,0,0,0,0,0,5,1,2,2,9,6,0,0,6,3,0,0,0,0,4,0,0,4,3,3,0,0,0,4,0,4,1,8,0,0,0,0,1,1,0,0,0,3,0,0,7,0,0,0,0,0,1,0,0,0,2
"loc28",8,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,1,1,2,0,2,3,4,5,0,3,2,0,0,5,1,0,0,0,1,8,6,0,0,0,0,0,0,0,5,3,4,0,6,3,0,0,4,3,0,0,0,0,0,2,4,6,3,1,0,0,0,6,0,4,1,7,0,0,0,1,1,0,1,0,0,6,1,0,4,0,0,0,0,0,5,0,0,0,2
"loc29",13,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,1,1,1,2,1,1,2,0,2,2,2,0,5,0,0,0,0,0,4,4,0,0,0,0,0,0,0,2,0,5,0,2,4,1,0,3,2,0,1,1,1,1,0,0,2,1,2,0,1,0,4,0,1,0,6,0,0,0,0,0,1,0,0,1,1,1,1,3,1,0,1,0,0,0,0,0,0,0
"loc30",21,0,0,0,0,16,0,1,0,0,0,0,0,0,2,0,2,0,0,1,2,0,2,1,0,4,5,5,3,0,0,1,1,1,7,0,1,1,0,1,4,4,0,0,0,0,0,1,0,2,4,4,1,13,4,0,1,10,1,0,1,0,0,0,0,3,3,3,1,0,0,0,2,0,8,0,6,0,0,0,0,0,5,0,0,0,5,1,1,4,0,0,0,0,1,1,0,1,0,4
